Date,Close
2023-12-01,238.830002
2023-12-02,238.830002
2023-12-03,238.830002
2023-12-04,235.580002
2023-12-05,238.720001
2023-12-06,239.369995
2023-12-07,242.639999
2023-12-08,243.839996
2023-12-09,243.839996
2023-12-10,243.839996
2023-12-11,239.740005
2023-12-12,237.009995
2023-12-13,239.289993
2023-12-14,251.050003
2023-12-15,253.5
2023-12-16,253.5
2023-12-17,253.5
2023-12-18,252.080002
2023-12-19,257.220001
2023-12-20,247.139999
2023-12-21,254.5
2023-12-22,252.539993
2023-12-23,252.539993
2023-12-24,252.539993
2023-12-25,252.539993
2023-12-26,256.609985
2023-12-27,261.440002
2023-12-28,253.179993
2023-12-29,248.479996
2023-12-30,248.479996
2023-12-31,248.479996
2024-01-01,248.479996
2024-01-02,248.419998
2024-01-03,238.449997
2024-01-04,237.929993
