Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,112.889999,113.019997,111.669998,112.529999,108.266083,23501200
2019-03-04,113.019997,113.250000,110.800003,112.260002,108.006310,26608000
2019-03-05,112.250000,112.389999,111.230003,111.699997,107.467522,19538300
2019-03-06,111.870003,112.660004,111.430000,111.750000,107.515656,17687000
2019-03-07,111.400002,111.550003,109.870003,110.389999,106.207161,25339000
2019-03-08,109.160004,110.709999,108.800003,110.510002,106.322624,22818400
2019-03-11,110.989998,112.949997,110.980003,112.830002,108.554703,26491600
2019-03-12,112.820000,113.989998,112.650002,113.620003,109.314774,26132700
2019-03-13,114.129997,115.000000,113.779999,114.500000,110.161438,35513800
2019-03-14,114.540001,115.199997,114.330002,114.589996,110.248016,30763400
2019-03-15,115.339996,117.250000,114.589996,115.910004,111.518005,54681100
2019-03-18,116.169998,117.610001,116.050003,117.570000,113.115097,31207600
2019-03-19,118.089996,118.440002,116.989998,117.650002,113.192070,37588700
2019-03-20,117.389999,118.750000,116.709999,117.519997,113.066994,28113300
2019-03-21,117.139999,120.820000,117.089996,120.220001,115.664696,29854400
2019-03-22,119.500000,119.589996,117.040001,117.050003,112.614807,33624500
2019-03-25,116.559998,118.010002,116.320000,117.660004,113.201698,27067100
2019-03-26,118.620003,118.709999,116.849998,117.910004,113.442238,26097700
2019-03-27,117.879997,118.209999,115.519997,116.769997,112.345406,22733400
2019-03-28,117.440002,117.580002,116.129997,116.930000,112.499359,18334800
2019-03-29,118.070000,118.320000,116.959999,117.940002,113.471077,25399800
2019-04-01,118.949997,119.110001,118.099998,119.019997,114.510170,22789100
2019-04-02,119.059998,119.480003,118.519997,119.190002,114.673721,18142300
2019-04-03,119.860001,120.430000,119.150002,119.970001,115.424187,22860700
2019-04-04,120.099998,120.230003,118.379997,119.360001,114.837265,20112800
2019-04-05,119.389999,120.230003,119.370003,119.889999,115.347191,15826200
2019-04-08,119.809998,120.019997,118.639999,119.930000,115.385681,15116200
2019-04-09,118.629997,119.540001,118.580002,119.279999,114.760300,17612000
2019-04-10,119.760002,120.349998,119.540001,120.190002,115.635841,16477200
2019-04-11,120.540001,120.849998,119.919998,120.330002,115.770531,14209100
2019-04-12,120.639999,120.980003,120.370003,120.949997,116.367020,19745100
2019-04-15,120.940002,121.580002,120.570000,121.050003,116.463242,15792600
2019-04-16,121.639999,121.650002,120.099998,120.769997,116.193855,14071800
2019-04-17,121.239998,121.849998,120.540001,121.769997,117.155968,19300900
2019-04-18,122.190002,123.519997,121.300003,123.370003,118.695328,27991000
2019-04-22,122.620003,124.000000,122.570000,123.760002,119.070549,15648700
2019-04-23,124.099998,125.580002,123.830002,125.440002,120.686897,24025500
2019-04-24,125.790001,125.849998,124.519997,125.010002,120.273193,31257000
2019-04-25,130.059998,131.369995,128.830002,129.149994,124.256317,38033900
2019-04-26,129.699997,130.520004,129.020004,129.889999,124.968277,23654900
2019-04-29,129.899994,130.179993,129.350006,129.770004,124.852814,16324200
2019-04-30,129.809998,130.699997,129.389999,130.600006,125.651382,24166500
2019-05-01,130.529999,130.649994,127.699997,127.879997,123.034439,26821700
2019-05-02,127.980003,128.000000,125.519997,126.209999,121.427719,27350200
2019-05-03,127.360001,129.429993,127.250000,128.899994,124.015785,24911100
2019-05-06,126.389999,128.559998,126.110001,128.149994,123.294212,24239800
2019-05-07,126.459999,127.180000,124.220001,125.519997,120.763855,36017700
2019-05-08,125.440002,126.370003,124.750000,125.510002,120.754242,28419000
2019-05-09,124.290001,125.790001,123.570000,125.500000,120.744629,27235800
2019-05-10,124.910004,127.930000,123.820000,127.129997,122.312866,30915100
2019-05-13,124.110001,125.550003,123.040001,123.349998,118.676094,33944900
2019-05-14,123.870003,125.879997,123.699997,124.730003,120.003807,25266300
2019-05-15,124.260002,126.709999,123.699997,126.019997,121.693726,24722700
2019-05-16,126.750000,129.380005,126.459999,128.929993,124.503830,30112200
2019-05-17,128.309998,130.460007,127.919998,128.070007,123.673370,25770500
2019-05-20,126.519997,127.589996,125.760002,126.220001,121.886864,23706900
2019-05-21,127.430000,127.529999,126.580002,126.900002,122.543518,15293300
2019-05-22,126.620003,128.240005,126.519997,127.669998,123.287094,15396500
2019-05-23,126.199997,126.290001,124.739998,126.180000,121.848228,23603800
2019-05-24,126.910004,127.419998,125.970001,126.239998,121.906174,14123400
2019-05-28,126.980003,128.000000,126.050003,126.160004,121.828934,23128400
2019-05-29,125.379997,125.389999,124.040001,124.940002,120.650795,22763100
2019-05-30,125.260002,125.760002,124.779999,125.730003,121.413696,16829600
2019-05-31,124.230003,124.620003,123.320000,123.680000,119.434052,26646800
2019-06-03,123.849998,124.370003,119.010002,119.839996,115.725876,37983600
2019-06-04,121.279999,123.279999,120.650002,123.160004,118.931908,29382600
2019-06-05,124.949997,125.870003,124.209999,125.830002,121.510246,24926100
2019-06-06,126.440002,127.970001,125.599998,127.820000,123.431923,21459000
2019-06-07,129.190002,132.250000,128.259995,131.399994,126.889030,33885600
2019-06-10,132.399994,134.080002,132.000000,132.600006,128.047836,26477100
2019-06-11,133.880005,134.240005,131.279999,132.100006,127.565018,23913700
2019-06-12,131.399994,131.970001,130.710007,131.490005,126.975929,17092500
2019-06-13,131.979996,133.000000,131.559998,132.320007,127.777443,17200800
2019-06-14,132.259995,133.789993,131.639999,132.449997,127.902977,17821700
2019-06-17,132.630005,133.729996,132.529999,132.850006,128.289261,14517800
2019-06-18,134.190002,135.240005,133.570007,135.160004,130.519943,25934500
2019-06-19,135.000000,135.929993,133.809998,135.690002,131.031738,23744400
2019-06-20,137.449997,137.660004,135.720001,136.949997,132.248505,33042600
2019-06-21,136.580002,137.729996,136.460007,136.970001,132.267838,36727900
2019-06-24,137.000000,138.399994,137.000000,137.779999,133.050018,20628800
2019-06-25,137.250000,137.589996,132.729996,133.429993,128.849304,33327400
2019-06-26,134.350006,135.740005,133.600006,133.929993,129.332199,23657700
2019-06-27,134.139999,134.710007,133.509995,134.149994,129.544617,16557500
2019-06-28,134.570007,134.600006,133.160004,133.960007,129.361115,30043000
2019-07-01,136.630005,136.699997,134.970001,135.679993,131.022110,22613500
2019-07-02,136.119995,136.589996,135.339996,136.580002,131.891220,15237800
2019-07-03,136.800003,137.740005,136.289993,137.460007,132.741013,13629300
2019-07-05,135.940002,137.330002,135.720001,137.059998,132.354721,18141100
2019-07-08,136.399994,137.100006,135.369995,136.960007,132.258163,16779700
2019-07-09,136.000000,136.970001,135.800003,136.460007,131.775345,19953100
2019-07-10,137.130005,138.580002,137.020004,137.850006,133.117569,24204400
