Date,Open,High,Low,Close,Adj Close,Volume
10/6/2022,112,114.41,110.2,111.58,111.58,3446500
10/7/2022,108.870003,109.531998,107.099998,108.540001,108.540001,3352700
10/8/2022,108.870003,109.531998,107.099998,109.36,109.36,3352700
10/9/2022,108.870003,109.531998,107.099998,110.18,110.18,3352700
10/10/2022,108.550003,111.620003,107.410004,110.989998,110.989998,3945200
10/11/2022,110.987999,111,103.595001,106.82,106.82,5696700
10/12/2022,107.470001,112.980003,106.110001,112.349998,112.349998,5547500
10/13/2022,107.300003,113.129997,105.300003,112.650002,112.650002,6172500
10/14/2022,115,116.447998,109.010002,109.160004,109.160004,5001700
10/15/2022,115,116.447998,109.010002,111.61,111.61,5001700
10/16/2022,115,116.447998,109.010002,114.05,114.05,5001700
10/17/2022,112.330002,116.760002,111.029999,116.5,116.5,5423900
10/18/2022,120.029999,120.709999,115.699997,117.940002,117.940002,5580000
10/19/2022,116.235001,118.839996,115.300003,116.870003,116.870003,3408900
10/20/2022,116.349998,120.559998,116,117,117,3962200
10/21/2022,116.760002,120.339996,114.639999,119.949997,119.949997,4146100
10/22/2022,116.760002,120.339996,114.639999,118.76,118.76,4146100
10/23/2022,116.760002,120.339996,114.639999,117.58,117.58,4146100
10/24/2022,118.330002,119.07,112.823997,116.389999,116.389999,4452800
10/25/2022,115.370003,119.379997,112.629997,118.449997,118.449997,6278900
10/26/2022,117,119.910004,114.970001,115.309998,115.309998,4263100
10/27/2022,116.050003,116.370003,111.925003,112.059998,112.059998,4594000
10/28/2022,111.190002,115.25,110.389999,115.209999,115.209999,4757300
10/29/2022,111.190002,115.25,110.389999,112.44,112.44,4757300
10/30/2022,111.190002,115.25,110.389999,109.68,109.68,4757300
10/31/2022,113.059998,113.800003,106.669998,106.910004,106.910004,10733800
11/1/2022,110.964996,113.099998,108,109.050003,109.050003,15979800
11/2/2022,102.644997,104.980003,94.25,94.410004,94.410004,29191400
11/3/2022,94.080002,95.309998,91.272003,92.019997,92.019997,10099300
11/4/2022,94.995003,96.160004,92.010002,96.089996,96.089996,9714500
