Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,2.031667,2.060000,1.956667,1.965000,1.803845,106671600
2005-01-04,1.979167,1.982500,1.842500,1.872500,1.718931,79022400
2005-01-05,1.852500,1.912500,1.842500,1.890000,1.734995,72481200
2005-01-06,1.923333,1.945833,1.858333,1.871667,1.718166,56356800
2005-01-07,1.875833,1.890000,1.808333,1.835833,1.685270,76309200
2005-01-10,1.841667,1.858333,1.829167,1.840000,1.689096,57955200
2005-01-11,1.822500,1.832500,1.755833,1.783333,1.637077,109338000
2005-01-12,1.799167,1.805833,1.725000,1.768333,1.623306,105780000
2005-01-13,1.772500,1.833333,1.733333,1.786667,1.640137,89876400
2005-01-14,1.820000,1.824167,1.775000,1.792500,1.645492,57391200
2005-01-18,1.772500,1.825000,1.768333,1.820833,1.671501,46455600
2005-01-19,1.829167,1.833333,1.771667,1.779167,1.633253,33649200
2005-01-20,1.743333,1.826667,1.743333,1.783333,1.637077,64008000
2005-01-21,1.785833,1.821667,1.780000,1.786667,1.640137,59635200
2005-01-24,1.776667,1.802500,1.705000,1.715000,1.574348,46370400
2005-01-25,1.722500,1.769167,1.712500,1.745000,1.601888,43970400
2005-01-26,1.750833,1.791667,1.721667,1.767500,1.622542,42912000
2005-01-27,1.770833,1.917500,1.760000,1.909167,1.752591,100291200
2005-01-28,1.916667,1.924167,1.865000,1.906667,1.750295,67105200
2005-01-31,1.922500,1.945833,1.883333,1.910000,1.753355,56296800
2005-02-01,1.908333,1.954167,1.896667,1.945833,1.786249,50718000
2005-02-02,2.022500,2.070000,1.965000,2.054167,1.885699,203540400
2005-02-03,2.032500,2.046667,2.004167,2.032500,1.865809,69012000
2005-02-04,2.033333,2.155000,2.032500,2.149167,1.972907,80644800
2005-02-07,2.151667,2.191667,2.104167,2.123333,1.949192,52162800
2005-02-08,2.110000,2.178333,2.103333,2.144167,1.968317,45577200
2005-02-09,2.150000,2.156667,2.058333,2.069167,1.899468,78375600
2005-02-10,2.080000,2.128333,2.072500,2.117500,1.943838,60237600
2005-02-11,2.104167,2.195000,2.096667,2.179167,2.000447,55651200
2005-02-14,2.178333,2.186667,2.125000,2.133333,1.958372,43290000
2005-02-15,2.147500,2.220833,2.144167,2.152500,1.975967,74850000
2005-02-16,2.145833,2.176667,2.106667,2.145000,1.969083,46646400
2005-02-17,2.174167,2.175000,2.109167,2.125833,1.951486,101740800
2005-02-18,2.289167,2.358333,2.225833,2.355833,2.162624,313212000
2005-02-22,2.340000,2.440833,2.319167,2.385833,2.190164,142080000
2005-02-23,2.347500,2.376667,2.270000,2.308333,2.119020,110784000
2005-02-24,2.276667,2.372500,2.276667,2.369167,2.174865,69549600
2005-02-25,2.372500,2.415833,2.346667,2.403333,2.206228,52513200
2005-02-28,2.391667,2.416667,2.370833,2.415833,2.217704,75806400
